Attēls,WER,CER
1,0.75,0.29927007299270075
2,0.7741935483870968,0.33014354066985646
3,0.8571428571428571,0.35526315789473684
4,0.75,0.32142857142857145
5,0.8,0.3466666666666667
6,0.7916666666666666,0.25
7,0.8148148148148148,0.4
8,0.72,0.25
9,0.7857142857142857,0.3057324840764331
10,0.7391304347826086,0.3008130081300813
11,0.9310344827586207,0.4899328859060403
12,0.7083333333333334,0.30303030303030304
13,0.8571428571428571,0.3765432098765432
14,0.68,0.31297709923664124
15,0.84,0.36153846153846153
16,0.68,0.3049645390070922
17,0.85,0.3137254901960784
18,0.6818181818181818,0.3543307086614173
19,0.7391304347826086,0.3178294573643411
20,0.8260869565217391,0.3629032258064516
21,0.7307692307692307,0.2702702702702703
22,0.5789473684210527,0.2
23,0.6296296296296297,0.2653061224489796
24,0.5909090909090909,0.33070866141732286
25,0.7272727272727273,0.33064516129032256
26,0.6521739130434783,0.2878787878787879
27,0.6363636363636364,0.21052631578947367
28,0.5416666666666666,0.21705426356589147
29,0.6521739130434783,0.25
30,0.7272727272727273,0.2857142857142857
31,0.7037037037037037,0.2679738562091503
32,0.48,0.16546762589928057
33,0.5769230769230769,0.1736111111111111
34,0.44,0.1527777777777778
35,0.42857142857142855,0.14035087719298245
36,0.391304347826087,0.11678832116788321
37,0.5357142857142857,0.14705882352941177
38,0.5333333333333333,0.1708542713567839
39,0.48,0.16774193548387098
40,0.43333333333333335,0.1366120218579235
41,0.5384615384615384,0.18055555555555555
42,0.64,0.23225806451612904
43,0.5161290322580645,0.1837837837837838
44,0.4666666666666667,0.11891891891891893
45,0.5,0.19047619047619047
46,0.6206896551724138,0.17073170731707318
47,0.2857142857142857,0.076
48,0.71875,0.22279792746113988
49,0.7142857142857143,0.2468354430379747
50,0.7096774193548387,0.2604166666666667
51,0.6206896551724138,0.25153374233128833
52,0.5714285714285714,0.2808988764044944
53,0.6333333333333333,0.22872340425531915
54,0.5483870967741935,0.23255813953488372
55,0.5333333333333333,0.2529411764705882
56,0.6428571428571429,0.2222222222222222
57,0.7777777777777778,0.3231707317073171
58,0.6428571428571429,0.25153374233128833
59,0.7096774193548387,0.2541436464088398
60,0.6875,0.35428571428571426
61,0.7241379310344828,0.25925925925925924
62,0.5483870967741935,0.1452513966480447
63,0.5172413793103449,0.18012422360248448
64,0.6071428571428571,0.23076923076923078
65,0.5862068965517241,0.19230769230769232
66,0.7317073170731707,0.18996415770609318
67,0.4827586206896552,0.21511627906976744
68,0.5,0.2037037037037037
69,0.4375,0.14720812182741116
70,0.34375,0.11979166666666667
71,0.5517241379310345,0.24022346368715083
72,0.6,0.22
73,0.7419354838709677,0.31794871794871793
74,0.6774193548387096,0.25925925925925924
75,0.75,0.26506024096385544
76,0.6111111111111112,0.2391304347826087
77,0.4666666666666667,0.16939890710382513
78,0.53125,0.15544041450777202
79,0.6551724137931034,0.22527472527472528
80,0.7,0.22404371584699453
81,0.42857142857142855,0.21686746987951808
82,0.5161290322580645,0.18974358974358974
83,0.5483870967741935,0.26136363636363635
84,0.5588235294117647,0.19444444444444445
85,0.5294117647058824,0.21359223300970873
86,0.4444444444444444,0.156
87,0.3333333333333333,0.13636363636363635
88,0.5714285714285714,0.1895734597156398
89,0.2894736842105263,0.11244979919678715
90,0.3548387096774194,0.17587939698492464
91,0.5588235294117647,0.22058823529411764
92,0.43333333333333335,0.11666666666666667
93,0.45161290322580644,0.1358695652173913
94,0.3055555555555556,0.11946902654867257
95,0.4,0.16666666666666666
96,0.3225806451612903,0.11
97,0.3548387096774194,0.19487179487179487
98,0.30303030303030304,0.08490566037735849
99,0.65625,0.23316062176165803
100,0.5925925925925926,0.23125
