Attēls,WER,CER
1,0.875,0.4306569343065693
2,0.7741935483870968,0.4449760765550239
3,0.9285714285714286,0.5921052631578947
4,0.6666666666666666,0.34285714285714286
5,0.84,0.47333333333333333
6,0.8333333333333334,0.3951612903225806
7,0.9259259259259259,0.5096774193548387
8,0.76,0.4142857142857143
9,0.8928571428571429,0.46496815286624205
10,0.8695652173913043,0.43902439024390244
11,0.896551724137931,0.5369127516778524
12,0.875,0.4696969696969697
13,0.8928571428571429,0.4506172839506173
14,0.76,0.44274809160305345
15,0.84,0.46153846153846156
16,0.88,0.44680851063829785
17,0.9,0.4215686274509804
18,0.9090909090909091,0.48031496062992124
19,0.8695652173913043,0.4496124031007752
20,0.9565217391304348,0.6290322580645161
21,0.8846153846153846,0.47297297297297297
22,0.631578947368421,0.3619047619047619
23,0.7777777777777778,0.41496598639455784
24,0.6363636363636364,0.36220472440944884
25,0.7272727272727273,0.43548387096774194
26,0.7391304347826086,0.42424242424242425
27,0.7727272727272727,0.3383458646616541
28,0.7083333333333334,0.3023255813953488
29,0.7391304347826086,0.375
30,0.9090909090909091,0.47058823529411764
31,0.8518518518518519,0.37254901960784315
32,0.6,0.2805755395683453
33,0.8076923076923077,0.3888888888888889
34,0.68,0.3194444444444444
35,0.6428571428571429,0.25146198830409355
36,0.4782608695652174,0.26277372262773724
37,0.6071428571428571,0.25882352941176473
38,0.6666666666666666,0.2914572864321608
39,0.68,0.25161290322580643
40,0.6666666666666666,0.29508196721311475
41,0.6538461538461539,0.25
42,0.68,0.2709677419354839
43,0.6129032258064516,0.23243243243243245
44,0.6,0.2864864864864865
45,0.7,0.32275132275132273
46,0.6206896551724138,0.21951219512195122
47,0.5,0.172
48,0.6875,0.27461139896373055
49,0.75,0.3924050632911392
50,0.7096774193548387,0.3072916666666667
51,0.7586206896551724,0.3128834355828221
52,0.7857142857142857,0.38764044943820225
53,0.7333333333333333,0.3191489361702128
54,0.6774193548387096,0.3372093023255814
55,0.7666666666666667,0.3352941176470588
56,0.7857142857142857,0.35947712418300654
57,0.8148148148148148,0.43902439024390244
58,0.6071428571428571,0.31901840490797545
59,0.6451612903225806,0.30939226519337015
60,0.6875,0.32
61,0.7586206896551724,0.35185185185185186
62,0.7741935483870968,0.3687150837988827
63,0.6896551724137931,0.2919254658385093
64,0.6785714285714286,0.3141025641025641
65,0.7586206896551724,0.30128205128205127
66,0.6829268292682927,0.2831541218637993
67,0.7931034482758621,0.38372093023255816
68,0.7857142857142857,0.30864197530864196
69,0.53125,0.20812182741116753
70,0.4375,0.18229166666666666
71,0.6206896551724138,0.2849162011173184
72,0.72,0.3466666666666667
73,0.7096774193548387,0.3333333333333333
74,0.6451612903225806,0.24867724867724866
75,0.7857142857142857,0.3373493975903614
76,0.6388888888888888,0.3130434782608696
77,0.6666666666666666,0.2896174863387978
78,0.71875,0.2849740932642487
79,0.7241379310344828,0.25274725274725274
80,0.6333333333333333,0.2896174863387978
81,0.6785714285714286,0.3253012048192771
82,0.6451612903225806,0.2512820512820513
83,0.6774193548387096,0.36363636363636365
84,0.6470588235294118,0.2222222222222222
85,0.6764705882352942,0.2766990291262136
86,0.5555555555555556,0.2
87,0.6333333333333333,0.21022727272727273
88,0.5714285714285714,0.2843601895734597
89,0.42105263157894735,0.17269076305220885
90,0.5483870967741935,0.24120603015075376
91,0.6470588235294118,0.27450980392156865
92,0.6,0.2
93,0.6774193548387096,0.266304347826087
94,0.4444444444444444,0.20353982300884957
95,0.5333333333333333,0.23333333333333334
96,0.5483870967741935,0.18
97,0.5483870967741935,0.22564102564102564
98,0.5757575757575758,0.21226415094339623
99,0.75,0.32642487046632124
100,0.6666666666666666,0.28125
