Attēls,WER,CER
1,0.625,0.21897810218978103
2,0.7741935483870968,0.291866028708134
3,0.75,0.24342105263157895
4,0.5833333333333334,0.2357142857142857
5,0.6,0.22666666666666666
6,0.6666666666666666,0.25
7,0.7777777777777778,0.36129032258064514
8,0.44,0.17142857142857143
9,0.6785714285714286,0.2802547770700637
10,0.7391304347826086,0.2764227642276423
11,0.5172413793103449,0.22818791946308725
12,0.4583333333333333,0.16666666666666666
13,0.5714285714285714,0.1728395061728395
14,0.6,0.2366412213740458
15,0.56,0.14615384615384616
16,0.4,0.1773049645390071
17,0.4,0.17647058823529413
18,0.4090909090909091,0.16535433070866143
19,0.5217391304347826,0.20930232558139536
20,0.5217391304347826,0.24193548387096775
21,0.46153846153846156,0.16216216216216217
22,0.3684210526315789,0.13333333333333333
23,0.5185185185185185,0.16326530612244897
24,0.5454545454545454,0.2204724409448819
25,0.5,0.22580645161290322
26,0.34782608695652173,0.1893939393939394
27,0.4090909090909091,0.18045112781954886
28,0.375,0.17054263565891473
29,0.5217391304347826,0.225
30,0.5,0.19327731092436976
31,0.48148148148148145,0.19607843137254902
32,0.32,0.12949640287769784
33,0.5769230769230769,0.1597222222222222
34,0.36,0.1527777777777778
35,0.2857142857142857,0.10526315789473684
36,0.30434782608695654,0.12408759124087591
37,0.25,0.12352941176470589
38,0.4,0.16080402010050251
39,0.36,0.13548387096774195
40,0.5,0.18579234972677597
41,0.2692307692307692,0.09027777777777778
42,0.12,0.03225806451612903
43,0.16129032258064516,0.03783783783783784
44,0.26666666666666666,0.07027027027027027
45,0.4,0.12698412698412698
46,0.1724137931034483,0.06097560975609756
47,0.23809523809523808,0.072
48,0.3125,0.05699481865284974
49,0.32142857142857145,0.12025316455696203
50,0.3225806451612903,0.08854166666666667
51,0.4482758620689655,0.1411042944785276
52,0.21428571428571427,0.056179775280898875
53,0.23333333333333334,0.09042553191489362
54,0.25806451612903225,0.12209302325581395
55,0.4,0.16470588235294117
56,0.21428571428571427,0.10457516339869281
57,0.48148148148148145,0.14634146341463414
58,0.32142857142857145,0.09815950920245399
59,0.2903225806451613,0.13259668508287292
60,0.375,0.12571428571428572
61,0.3103448275862069,0.13580246913580246
62,0.3548387096774194,0.11173184357541899
63,0.27586206896551724,0.08695652173913043
64,0.21428571428571427,0.07051282051282051
65,0.13793103448275862,0.05128205128205128
66,0.24390243902439024,0.05734767025089606
67,0.3103448275862069,0.09883720930232558
68,0.42857142857142855,0.17901234567901234
69,0.09375,0.05583756345177665
70,0.21875,0.078125
71,0.3103448275862069,0.11731843575418995
72,0.44,0.14666666666666667
73,0.2903225806451613,0.09230769230769231
74,0.22580645161290322,0.1111111111111111
75,0.42857142857142855,0.1686746987951807
76,0.3333333333333333,0.09130434782608696
77,0.36666666666666664,0.16393442622950818
78,0.21875,0.05181347150259067
79,0.2413793103448276,0.09340659340659341
80,0.3333333333333333,0.12568306010928962
81,0.21428571428571427,0.05421686746987952
82,0.1935483870967742,0.06666666666666667
83,0.12903225806451613,0.045454545454545456
84,0.23529411764705882,0.08333333333333333
85,0.23529411764705882,0.09223300970873786
86,0.16666666666666666,0.06
87,0.36666666666666664,0.09090909090909091
88,0.2571428571428571,0.08056872037914692
89,0.18421052631578946,0.05622489959839357
90,0.3225806451612903,0.08542713567839195
91,0.2647058823529412,0.11274509803921569
92,0.2,0.06111111111111111
93,0.2903225806451613,0.09782608695652174
94,0.3888888888888889,0.12389380530973451
95,0.3333333333333333,0.17222222222222222
96,0.22580645161290322,0.09
97,0.5161290322580645,0.20512820512820512
98,0.3939393939393939,0.1320754716981132
99,0.40625,0.15544041450777202
100,0.5555555555555556,0.15625
