Attēls,WER,CER
1,0.875,0.39416058394160586
2,0.8064516129032258,0.5311004784688995
3,0.8928571428571429,0.5263157894736842
4,0.75,0.40714285714285714
5,0.84,0.4666666666666667
6,0.875,0.4838709677419355
7,0.8888888888888888,0.5032258064516129
8,0.68,0.4
9,0.8571428571428571,0.5031847133757962
10,0.8260869565217391,0.43089430894308944
11,0.8620689655172413,0.4161073825503356
12,0.875,0.44696969696969696
13,0.8571428571428571,0.42592592592592593
14,0.76,0.45038167938931295
15,0.84,0.46923076923076923
16,0.72,0.375886524822695
17,0.75,0.39215686274509803
18,0.8181818181818182,0.47244094488188976
19,0.8260869565217391,0.5271317829457365
20,0.9130434782608695,0.5241935483870968
21,0.8846153846153846,0.5472972972972973
22,0.7894736842105263,0.42857142857142855
23,0.7037037037037037,0.4013605442176871
24,0.6818181818181818,0.3228346456692913
25,0.7272727272727273,0.4274193548387097
26,0.8695652173913043,0.45454545454545453
27,0.6818181818181818,0.3157894736842105
28,0.75,0.3488372093023256
29,0.7391304347826086,0.31666666666666665
30,0.8636363636363636,0.48739495798319327
31,0.7407407407407407,0.32679738562091504
32,0.6,0.2805755395683453
33,0.6538461538461539,0.2708333333333333
34,0.56,0.2916666666666667
35,0.6071428571428571,0.22807017543859648
36,0.43478260869565216,0.2116788321167883
37,0.5,0.22941176470588234
38,0.7333333333333333,0.3015075376884422
39,0.64,0.23870967741935484
40,0.6333333333333333,0.273224043715847
41,0.5769230769230769,0.3055555555555556
42,0.64,0.23225806451612904
43,0.6129032258064516,0.2594594594594595
44,0.5666666666666667,0.21081081081081082
45,0.7,0.3439153439153439
46,0.8275862068965517,0.29878048780487804
47,0.5476190476190477,0.204
48,0.75,0.27461139896373055
49,0.7142857142857143,0.3227848101265823
50,0.7419354838709677,0.3177083333333333
51,0.7931034482758621,0.37423312883435583
52,0.75,0.3707865168539326
53,0.7666666666666667,0.3404255319148936
54,0.7419354838709677,0.3430232558139535
55,0.7666666666666667,0.3764705882352941
56,0.6785714285714286,0.32679738562091504
57,0.8148148148148148,0.4146341463414634
58,0.75,0.3496932515337423
59,0.8387096774193549,0.35911602209944754
60,0.8125,0.37714285714285717
61,0.7586206896551724,0.3765432098765432
62,0.7741935483870968,0.35195530726256985
63,0.7241379310344828,0.2546583850931677
64,0.6071428571428571,0.32051282051282054
65,0.7241379310344828,0.32051282051282054
66,0.7073170731707317,0.2867383512544803
67,0.7586206896551724,0.3953488372093023
68,0.7142857142857143,0.2962962962962963
69,0.6875,0.30456852791878175
70,0.625,0.2552083333333333
71,0.6551724137931034,0.3016759776536313
72,0.64,0.2866666666666667
73,0.7419354838709677,0.4153846153846154
74,0.6774193548387096,0.35978835978835977
75,0.75,0.3132530120481928
76,0.7222222222222222,0.33043478260869563
77,0.6,0.273224043715847
78,0.75,0.3316062176165803
79,0.7241379310344828,0.3131868131868132
80,0.6666666666666666,0.3114754098360656
81,0.7142857142857143,0.3855421686746988
82,0.6774193548387096,0.28205128205128205
83,0.6774193548387096,0.35795454545454547
84,0.7058823529411765,0.26851851851851855
85,0.7058823529411765,0.2912621359223301
86,0.6944444444444444,0.284
87,0.6,0.18181818181818182
88,0.6571428571428571,0.3127962085308057
89,0.5789473684210527,0.26104417670682734
90,0.6774193548387096,0.3165829145728643
91,0.7058823529411765,0.3137254901960784
92,0.6,0.2111111111111111
93,0.7096774193548387,0.266304347826087
94,0.5555555555555556,0.2610619469026549
95,0.7,0.3111111111111111
96,0.6774193548387096,0.23
97,0.5806451612903226,0.2358974358974359
98,0.48484848484848486,0.1792452830188679
99,0.8125,0.40932642487046633
100,0.7407407407407407,0.38125
