Attēls,WER,CER
1,0.9583333333333334,0.5036496350364964
2,0.8709677419354839,0.5645933014354066
3,0.9642857142857143,0.5460526315789473
4,0.875,0.4928571428571429
5,0.88,0.5466666666666666
6,0.9166666666666666,0.5483870967741935
7,0.9629629629629629,0.6580645161290323
8,0.92,0.55
9,0.9642857142857143,0.5796178343949044
10,0.9565217391304348,0.5609756097560976
11,0.8620689655172413,0.5570469798657718
12,0.875,0.5075757575757576
13,0.9642857142857143,0.5925925925925926
14,0.84,0.6030534351145038
15,0.92,0.5769230769230769
16,0.96,0.5531914893617021
17,0.95,0.46078431372549017
18,0.9090909090909091,0.5669291338582677
19,0.8695652173913043,0.6201550387596899
20,0.9565217391304348,0.6693548387096774
21,0.9230769230769231,0.49324324324324326
22,0.8947368421052632,0.45714285714285713
23,0.8888888888888888,0.4897959183673469
24,0.8181818181818182,0.4566929133858268
25,0.8181818181818182,0.4596774193548387
26,0.8260869565217391,0.4696969696969697
27,0.8181818181818182,0.3684210526315789
28,0.7916666666666666,0.3953488372093023
29,0.8695652173913043,0.49166666666666664
30,0.9090909090909091,0.4957983193277311
31,0.9259259259259259,0.43790849673202614
32,0.64,0.31654676258992803
33,0.8461538461538461,0.4097222222222222
34,0.76,0.3611111111111111
35,0.7142857142857143,0.3157894736842105
36,0.5652173913043478,0.291970802919708
37,0.8214285714285714,0.34705882352941175
38,0.7333333333333333,0.37185929648241206
39,0.72,0.3096774193548387
40,0.7666666666666667,0.4098360655737705
41,0.8076923076923077,0.3333333333333333
42,0.76,0.2838709677419355
43,0.8387096774193549,0.3837837837837838
44,0.6666666666666666,0.3081081081081081
45,0.8,0.4074074074074074
46,0.7931034482758621,0.2804878048780488
47,0.5952380952380952,0.212
48,0.8125,0.3160621761658031
49,0.6071428571428571,0.36075949367088606
50,0.7096774193548387,0.34375
51,0.6551724137931034,0.3067484662576687
52,0.7857142857142857,0.34831460674157305
53,0.8333333333333334,0.3351063829787234
54,0.7096774193548387,0.3313953488372093
55,0.8333333333333334,0.35294117647058826
56,0.7857142857142857,0.39869281045751637
57,0.8148148148148148,0.4329268292682927
58,0.7857142857142857,0.38650306748466257
59,0.8387096774193549,0.4143646408839779
60,0.78125,0.38857142857142857
61,0.7931034482758621,0.4444444444444444
62,0.9032258064516129,0.5307262569832403
63,0.7241379310344828,0.30434782608695654
64,0.75,0.28205128205128205
65,0.6896551724137931,0.26282051282051283
66,0.7317073170731707,0.32974910394265233
67,0.7586206896551724,0.36046511627906974
68,0.7857142857142857,0.4012345679012346
69,0.625,0.233502538071066
70,0.5,0.21875
71,0.7586206896551724,0.4301675977653631
72,0.8,0.36666666666666664
73,0.8387096774193549,0.4358974358974359
74,0.8064516129032258,0.3968253968253968
75,0.8214285714285714,0.40963855421686746
76,0.6111111111111112,0.3
77,0.7,0.32786885245901637
78,0.65625,0.27461139896373055
79,0.6206896551724138,0.29120879120879123
80,0.6666666666666666,0.3442622950819672
81,0.7857142857142857,0.4457831325301205
82,0.7741935483870968,0.31794871794871793
83,0.8064516129032258,0.4034090909090909
84,0.6764705882352942,0.2777777777777778
85,0.6470588235294118,0.3058252427184466
86,0.6388888888888888,0.248
87,0.6666666666666666,0.20454545454545456
88,0.8,0.3791469194312796
89,0.631578947368421,0.30522088353413657
90,0.6451612903225806,0.2613065326633166
91,0.7058823529411765,0.3284313725490196
92,0.7333333333333333,0.2722222222222222
93,0.7096774193548387,0.2391304347826087
94,0.5833333333333334,0.252212389380531
95,0.7666666666666667,0.3055555555555556
96,0.6451612903225806,0.205
97,0.7419354838709677,0.31794871794871793
98,0.5757575757575758,0.19339622641509435
99,0.84375,0.39896373056994816
100,0.7037037037037037,0.39375
